landlord,address,units,violations,number,street,borough,zip
Jonathan Cohen-Silvershore Properties,"5416 4 AVENUE, BROOKLYN 11220",16,62,5416,4 AVENUE,BROOKLYN,11220
Jonathan Cohen-Silvershore Properties,"5422 4 AVENUE, BROOKLYN 11220",21,78,5422,4 AVENUE,BROOKLYN,11220
Jonathan Cohen-Silvershore Properties,"314 57 STREET, BROOKLYN 11220",17,70,314,57 STREET,BROOKLYN,11220
Jonathan Cohen-Silvershore Properties,"372 BALTIC STREET, BROOKLYN 11201",8,76,372,BALTIC STREET,BROOKLYN,11201
Jonathan Cohen-Silvershore Properties,"166 BLEECKER STREET, BROOKLYN 11221",6,41,166,BLEECKER STREET,BROOKLYN,11221
Jonathan Cohen-Silvershore Properties,"590 BUSHWICK AVENUE, BROOKLYN 11206",4,55,590,BUSHWICK AVENUE,BROOKLYN,11206
Jonathan Cohen-Silvershore Properties,"165 HOWARD AVENUE, BROOKLYN 11233",8,39,165,HOWARD AVENUE,BROOKLYN,11233
Jonathan Cohen-Silvershore Properties,"208 HOYT STREET, BROOKLYN 11217",3,9,208,HOYT STREET,BROOKLYN,11217
Jonathan Cohen-Silvershore Properties,"203 HULL STREET, BROOKLYN 11233",6,143,203,HULL STREET,BROOKLYN,11233
Jonathan Cohen-Silvershore Properties,"318 HUMBOLDT STREET, BROOKLYN 11211",7,102,318,HUMBOLDT STREET,BROOKLYN,11211
Jonathan Cohen-Silvershore Properties,"196 KINGSLAND AVENUE, BROOKLYN 11222",6,19,196,KINGSLAND AVENUE,BROOKLYN,11222
Jonathan Cohen-Silvershore Properties,"50 MAC DONOUGH STREET, BROOKLYN 11216",8,54,50,MAC DONOUGH STREET,BROOKLYN,11216
Jonathan Cohen-Silvershore Properties,"20 MENAHAN STREET, BROOKLYN 11221",6,51,20,MENAHAN STREET,BROOKLYN,11221
Jonathan Cohen-Silvershore Properties,"321 MENAHAN STREET, BROOKLYN 11237",6,23,321,MENAHAN STREET,BROOKLYN,11237
Jonathan Cohen-Silvershore Properties,"251 NASSAU AVENUE, BROOKLYN 11222",7,38,251,NASSAU AVENUE,BROOKLYN,11222
Jonathan Cohen-Silvershore Properties,"234 SCHENECTADY AVENUE, BROOKLYN 11213",6,44,234,SCHENECTADY AVENUE,BROOKLYN,11213
Jonathan Cohen-Silvershore Properties,"167 WAVERLY AVENUE, BROOKLYN 11205",8,48,167,WAVERLY AVENUE,BROOKLYN,11205
Jonathan Cohen-Silvershore Properties,"1708 SUMMERFIELD STREET, QUEENS 11385",39,116,1708,SUMMERFIELD STREET,QUEENS,11385
Jonathan Cohen-Silvershore Properties,"128 SUMPTER STREET, BROOKLYN 11233",6,22,128,SUMPTER STREET,BROOKLYN,11233
RAWLE ISAACS,"2038 MORRIS AVENUE, BRONX 10453",35,108,2038,MORRIS AVENUE,BRONX,10453
RAWLE ISAACS,"2042 MORRIS AVENUE, BRONX 10453",31,164,2042,MORRIS AVENUE,BRONX,10453
RAWLE ISAACS,"1982 WALTON AVENUE, BRONX 10453",37,212,1982,WALTON AVENUE,BRONX,10453
RAWLE ISAACS,"1892 MORRIS AVENUE, BRONX 10453",111,485,1892,MORRIS AVENUE,BRONX,10453
THOMAS STEINER,"1381 CASTLE HILL AVENUE, BRONX 10462",75,205,1381,CASTLE HILL AVENUE,BRONX,10462
THOMAS STEINER,"2001 NEWBOLD AVENUE, BRONX 10462",105,294,2001,NEWBOLD AVENUE,BRONX,10462
THOMAS STEINER,"1245 STRATFORD AVENUE, BRONX 10472",70,169,1245,STRATFORD AVENUE,BRONX,10472
THOMAS STEINER,"1255 STRATFORD AVENUE, BRONX 10472",70,175,1255,STRATFORD AVENUE,BRONX,10472
